journal,title,year,t,method,top5,top3
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,1.4477611940298507,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,3.066666666666667,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,3.0249110320284696,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,3.4103585657370523,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,3.409090909090909,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,3.2720720720720724,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.100719424460432,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.937743190661479,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.32,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.671875,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.5,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.909090909090909,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.8,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.6648793565683646,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,4.260869565217391,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.941176470588235,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,3.437340153452685,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,2.4,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,3.3846153846153846,IV,0,0
Economic Journal,"A CUP RUNNETH OVER: FISCAL POLICY SPILLOVERS
FROM THE 2009 RECOVERY ACT",2018,1.4117647058823528,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.4600001114909176,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,0.3699999966363636,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.9600000009383605,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.7000000097235464,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,2.8999999829411767,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,2.3100000038823527,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.7299999975951346,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.5099999995097402,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.949999948684212,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,2.1500000150399736,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.970000004720737,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,3.3899999694103835,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.4100000794727316,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.8799999956864248,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,2.6899999761645574,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,0.9900000176785718,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,2.7399998883703747,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,1.670000007549063,IV,0,0
Journal of Finance,A Comparative-Advantage Approach to Government Debt Maturity,2015,2.46999998246605,IV,0,0
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,1.1232876712328768,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.8,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.5879120879120879,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,1.6344086021505375,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.4705882352941176,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,1.4210526315789471,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.27272727272727276,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.5757575757575757,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,2.173913043478261,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.5238095238095237,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.6481481481481483,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.7941176470588235,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.7647058823529411,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,1.8333333333333333,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.47909090909090907,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.7142857142857143,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.3076923076923077,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,1.4999999999999998,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,1.1956521739130437,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,1.1999999999999995,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.4705882352941176,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,1.0827586206896551,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,2.2142857142857144,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.85625,RDD,1,1
Journal of Political Economy,A Flying Start? Maternity Leave Benefits and Long-Run Outcomes of Children,2015,0.3125,RDD,1,1
Review of Economics and Statistics,"ACCOUNTABILITY AND INCENTIVES OF APPOINTED AND
ELECTED PUBLIC OFFICIALS",2018,0.8260869565217391,DID,0,0
Review of Economics and Statistics,"ACCOUNTABILITY AND INCENTIVES OF APPOINTED AND
ELECTED PUBLIC OFFICIALS",2018,0.8478260869565217,DID,0,0
Review of Economics and Statistics,"ACCOUNTABILITY AND INCENTIVES OF APPOINTED AND
ELECTED PUBLIC OFFICIALS",2018,0.8695652173913044,DID,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,0.4193548387096774,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,2.181818181818182,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.7,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,2.2031249999999996,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.9696969696969695,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.0476190476190474,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,0.8846153846153847,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.4545454545454546,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,1.3333333333333337,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,2.1904761904761902,IV,0,0
Economic Journal,"ADDITIONAL RETURNS TO INVESTING IN GIRLSÕ
EDUCATION: IMPACT ON YOUNGER SIBLING HUMAN
CAPITAL",2018,2.2941176470588234,IV,0,0
