journal,year,t,method
American Economic Review,2005,3.5669291019439697,DID
American Economic Review,2005,1.2698413133621216,DID
American Economic Review,2005,3.321782112121582,DID
American Economic Review,2005,0.4372623562812805,DID
American Economic Review,2005,7.5,DID
American Economic Review,2005,4.187233924865723,DID
American Economic Review,2005,0.7406014800071716,DID
American Economic Review,2005,0.6482412219047546,DID
American Economic Review,2005,0.0625,DID
American Economic Review,2005,1.5514706373214722,DID
American Economic Review,2005,2.692307710647583,DID
American Economic Review,2005,0.8690476417541504,DID
American Economic Review,2005,1.5882352590560913,DID
American Economic Review,2005,3.225806474685669,DID
American Economic Review,2005,0.7407407164573669,DID
American Economic Review,2005,2.9734041690826416,DID
American Economic Review,2005,2.4551281929016113,DID
American Economic Review,2005,2.513513565063477,DID
American Economic Review,2005,0.6423357725143433,DID
American Economic Review,2005,4.810880661010742,DID
American Economic Review,2005,0.2863636314868927,DID
American Economic Review,2005,2.25,DID
American Economic Review,2005,2.150259017944336,DID
American Economic Review,2005,4.128378391265869,DID
American Economic Review,2005,2.915384531021118,DID
American Economic Review,2005,1.701612949371338,DID
American Economic Review,2005,1.303797483444214,DID
American Economic Review,2005,0.6709677577018738,DID
American Economic Review,2005,3.421428680419922,DID
American Economic Review,2005,3.736842155456543,DID
American Economic Review,2005,3.625,DID
American Economic Review,2005,3.692307710647583,DID
American Economic Review,2005,2.6744186878204346,DID
American Economic Review,2005,3.2285714149475098,DID
American Economic Review,2005,4.765305995941162,DID
American Economic Review,2005,0.8541666865348816,DID
American Economic Review,2005,1.048387050628662,DID
American Economic Review,2005,2.046875,DID
American Economic Review,2005,0.6257668733596802,DID
American Economic Review,2005,0.5287356376647949,DID
American Economic Review,2005,3.1111111640930176,DID
American Economic Review,2005,4.032432556152344,DID
American Economic Review,2005,3.973333358764648,DID
American Economic Review,2005,2.2957746982574463,DID
American Economic Review,2005,1.5911329984664917,DID
American Economic Review,2005,4.285714149475098,DID
American Economic Review,2005,4.60629940032959,DID
American Economic Review,2005,2.28947377204895,DID
American Economic Review,2005,6.226027488708496,DID
American Economic Review,2005,1.5955055952072144,DID
American Economic Review,2005,4.8403754234313965,DID
American Economic Review,2005,0.3502304255962372,DID
American Economic Review,2005,2.1157636642456055,DID
American Economic Review,2005,5.113772392272949,DID
American Economic Review,2005,1.044025182723999,DID
American Economic Review,2005,5.785714149475098,DID
American Economic Review,2005,5.88505744934082,DID
American Economic Review,2005,1.219387769699097,DID
American Economic Review,2005,1.7200000286102295,DID
American Economic Review,2005,1.0773333311080933,DID
American Economic Review,2005,2.0140907764434814,RCT
American Economic Review,2005,2,IV
American Economic Review,2005,1.567164182662964,IV
American Economic Review,2005,0.5769230723381042,IV
American Economic Review,2005,1.4255318641662598,IV
American Economic Review,2005,3.3478260040283203,IV
American Economic Review,2005,2.738095283508301,IV
American Economic Review,2005,3.382352828979492,IV
American Economic Review,2005,0.8157894611358643,IV
American Economic Review,2005,2.6480445861816406,IV
American Economic Review,2005,4.663366317749023,IV
American Economic Review,2005,0.5,IV
American Economic Review,2005,3.092307806015014,IV
American Economic Review,2005,2,IV
American Economic Review,2005,1.1372549533843994,IV
American Economic Review,2005,2.3220338821411133,IV
American Economic Review,2005,1,IV
American Economic Review,2005,0.6168224215507507,IV
American Economic Review,2005,1.8628318309783936,IV
American Economic Review,2005,3.2272727489471436,IV
American Economic Review,2005,2.6455695629119873,IV
American Economic Review,2005,2.2028985023498535,IV
American Economic Review,2005,2.434163808822632,IV
American Economic Review,2005,0.5,IV
American Economic Review,2005,2.5824174880981445,IV
American Economic Review,2005,0.625,IV
American Economic Review,2005,0.6666666865348816,IV
American Economic Review,2005,2.808219194412231,IV
American Economic Review,2005,2.5,IV
American Economic Review,2005,1.125,IV
American Economic Review,2005,2.846153736114502,IV
American Economic Review,2005,3.3548386096954346,IV
American Economic Review,2005,3,IV
American Economic Review,2005,1.100000023841858,IV
American Economic Review,2005,7.199999809265137,IV
American Economic Review,2005,2.6968443393707275,IV
American Economic Review,2005,2.1444106101989746,IV
American Economic Review,2005,9.25,IV
American Economic Review,2005,1.1875,IV
American Economic Review,2005,0.6176470518112183,IV
American Economic Review,2005,8,IV
American Economic Review,2005,0.7272727489471436,IV
American Economic Review,2005,8,IV
American Economic Review,2005,7.800000190734863,IV
American Economic Review,2005,1.2142857313156128,IV
American Economic Review,2005,1.7333333492279053,IV
American Economic Review,2005,0.529411792755127,IV
American Economic Review,2005,0.8888888955116272,IV
American Economic Review,2005,1.6341463327407837,IV
American Economic Review,2005,0.3888888955116272,IV
American Economic Review,2005,7.400000095367432,IV
American Economic Review,2005,1.1875,IV
American Economic Review,2005,1.3407549858093262,IV
American Economic Review,2005,9.5,IV
American Economic Review,2005,0.2666666805744171,IV
American Economic Review,2005,1.375,IV
American Economic Review,2005,3.2905266284942627,IV
American Economic Review,2005,1,IV
American Economic Review,2005,0.6176470518112183,IV
American Economic Review,2005,0.6315789222717285,IV
American Economic Review,2005,3.2905266284942627,IV
American Economic Review,2005,3.2905266284942627,IV
American Economic Review,2005,1.2142857313156128,IV
American Economic Review,2005,1.7999999523162842,IV
American Economic Review,2005,1.399999976158142,IV
American Economic Review,2005,1.09375,IV
American Economic Review,2005,7.599999904632568,IV
American Economic Review,2005,1.3333333730697632,IV
American Economic Review,2005,1.2000000476837158,IV
American Economic Review,2005,2.483769178390503,IV
American Economic Review,2005,1.7142857313156128,IV
American Economic Review,2005,9.375,IV
American Economic Review,2005,0.75,IV
American Economic Review,2005,0.9333333373069764,IV
American Economic Review,2005,7.199999809265137,IV
American Economic Review,2005,1,IV
American Economic Review,2005,1.4137930870056152,IV
American Economic Review,2005,0.46666666865348816,IV
American Economic Review,2005,2.357142925262451,IV
American Economic Review,2005,0.46666666865348816,IV
American Economic Review,2005,1.6538461446762085,IV
American Economic Review,2005,3.481481552124023,IV
American Economic Review,2005,1.795454502105713,IV
American Economic Review,2005,2.28947377204895,IV
American Economic Review,2005,0,IV
American Economic Review,2005,1,IV
American Economic Review,2005,1.675675630569458,IV
American Economic Review,2005,2.126732349395752,IV
American Economic Review,2005,2.189873456954956,IV
American Economic Review,2005,2.2112677097320557,IV
American Economic Review,2005,2.377049207687378,IV
American Economic Review,2005,0.1807228922843933,IV
American Economic Review,2005,1.9473683834075928,IV
American Economic Review,2005,2.521472454071045,IV
American Economic Review,2005,2.644444465637207,IV
American Economic Review,2005,0.15625,IV
American Economic Review,2005,1.795454502105713,IV
American Economic Review,2005,3.41791033744812,IV
